Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Sc,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular,Internet_Access,Parent_Educ,Family_Income,Stress_Level (1-10)
S067,Omar,Davis,student67@univ.edu,Female,18,Engineering,76.62,57,67,90.24,99.32,50.3,89.31,61.51,A,12.3,Yes,Yes,None,Medium,10
S068,Omar,Williams,student68@univ.edu,Male,19,Business,86.64,95,96,82.07,79.06,55.57,96.07,95.83,F,9.5,No,Yes,Master's,Medium,10
S069,John,Williams,student69@univ.edu,Female,22,Mathematics,95.36,89,51,88.7,53.97,13.48,67.65,51.9,A,27.1,No,Yes,High School,Low,8
S070,Sara,Smith,student70@univ.edu,Female,20,Engineering,78.56,50,79,81.13,98.23,87.16,53.18,49.34,B,6.4,Yes,No,High School,High,6
S071,Emma,Davis,student71@univ.edu,Female,18,Engineering,88.65,44,76,93.16,82.76,14.69,99.11,94.81,D,29.8,Yes,No,None,High,8
S072,Ali,Davis,student72@univ.edu,Male,23,Business,97.82,73,93,77.45,80.78,43.44,92.54,98.1,F,6.7,No,No,PhD,Medium,1
S073,Omar,Jones,student73@univ.edu,Female,23,Engineering,80.56,62,64,63.1,70.98,46.54,89.47,78.22,D,9.3,No,Yes,Master's,Low,6
S074,Sara,Jones,student74@univ.edu,Male,22,CS,66.11,87,58,56.85,76.44,32.17,82.23,46.66,B,26.9,Yes,Yes,PhD,Medium,6
S075,Liam,Smith,student75@univ.edu,Female,21,Business,73.82,72,41,67.38,69.71,63.52,53.92,98.15,A,19.2,Yes,Yes,Bachelor's,High,6
S076,Omar,Johnson,student76@univ.edu,Male,20,CS,94.52,99,74,90.19,55.55,83.04,73.94,51.14,F,16.5,No,Yes,Master's,Low,8
S077,Ahmed,Davis,student77@univ.edu,Female,21,Business,76.36,43,80,94.97,61.13,63.28,52.5,60.66,B,8.4,Yes,Yes,High School,Medium,8
S078,Omar,Williams,student78@univ.edu,Male,21,Mathematics,82.82,73,84,69.16,52.32,47.59,89.2,94.91,B,26.7,Yes,No,Master's,Low,5
S079,Ahmed,Johnson,student79@univ.edu,Male,24,CS,82.65,99,50,50.63,78.2,62.74,51.96,45.53,F,18.9,No,Yes,None,High,1
S080,Ahmed,Jones,student80@univ.edu,Female,21,CS,81.64,47,97,59.4,53.24,72.59,88.51,97.67,A,18.0,No,Yes,None,Medium,5
S081,Liam,Johnson,student81@univ.edu,Male,18,Business,64.82,63,79,85.2,97.06,6.05,80.23,54.87,B,5.3,No,Yes,High School,Low,6
S082,Maria,Davis,student82@univ.edu,Male,20,Engineering,70.74,71,40,73.74,96.46,55.52,86.77,91.68,B,29.2,No,Yes,Master's,Low,8
S083,Omar,Johnson,student83@univ.edu,Male,18,Mathematics,75.37,61,97,59.88,66.63,26.67,92.57,54.62,A,14.2,Yes,Yes,Master's,Low,1
S084,Sara,Brown,student84@univ.edu,Female,21,CS,96.05,89,93,72.43,59.06,13.03,59.83,51.58,C,16.3,No,No,Bachelor's,High,8
S085,Emma,Jones,student85@univ.edu,Male,20,Business,62.57,45,72,85.01,83.76,91.16,73.66,59.83,C,17.2,Yes,No,High School,High,10
S086,Maria,Davis,student86@univ.edu,Female,20,CS,82.81,44,72,58.79,92.33,48.07,51.83,55.16,C,20.7,No,No,PhD,Low,2
S087,Maria,Davis,student87@univ.edu,Male,20,Engineering,64.46,73,45,82.32,98.1,64.68,88.66,88.03,B,15.1,No,No,PhD,Medium,8
S088,Maria,Brown,student88@univ.edu,Male,21,Business,70.49,78,99,69.23,81.26,75.07,82.52,54.0,C,22.4,Yes,No,PhD,High,3
S089,John,Williams,student89@univ.edu,Male,24,Business,85.6,42,86,60.72,79.34,83.16,82.89,94.84,F,24.7,No,Yes,High School,Low,2
S090,Emma,Johnson,student90@univ.edu,Male,24,Business,50.28,60,54,96.37,62.29,11.96,96.13,82.24,F,25.4,No,Yes,PhD,Low,7
S091,Maria,Jones,student91@univ.edu,Male,22,CS,98.76,75,87,69.34,78.49,71.61,62.08,95.38,C,20.1,Yes,No,PhD,High,2
S092,Omar,Jones,student92@univ.edu,Male,19,Engineering,94.6,94,53,74.8,59.12,11.45,60.02,95.3,C,9.7,No,Yes,Master's,High,7
S093,Emma,Smith,student93@univ.edu,Female,23,Mathematics,65.1,98,49,76.99,83.73,75.08,81.13,55.65,F,14.3,Yes,Yes,Bachelor's,Low,7
S094,Ahmed,Brown,student94@univ.edu,Male,20,Mathematics,72.54,70,90,80.23,66.33,91.0,67.55,73.24,A,19.7,Yes,Yes,Master's,Low,4
S095,Omar,Brown,student95@univ.edu,Female,18,Mathematics,58.81,51,42,56.37,71.53,41.84,75.25,81.96,C,16.3,No,No,High School,Low,2
S096,Ali,Brown,student96@univ.edu,Female,22,Engineering,90.34,89,43,68.1,87.46,77.02,75.96,62.78,F,20.5,No,No,None,High,9
S097,Sara,Smith,student97@univ.edu,Female,18,Business,68.87,43,57,83.76,95.15,67.72,60.65,69.32,F,8.0,Yes,No,Master's,High,8
S098,Omar,Williams,student98@univ.edu,Male,18,Engineering,67.94,90,56,96.68,78.03,78.3,73.69,56.77,B,10.1,No,No,High School,High,5
S099,Sara,Jones,student99@univ.edu,Female,19,CS,97.29,60,63,98.91,54.7,31.12,77.14,63.76,F,11.1,No,Yes,Master's,Low,6
S100,Maria,Johnson,student100@univ.edu,Female,21,Mathematics,93.24,83,70,73.38,59.76,24.53,69.48,77.59,B,21.3,Yes,Yes,PhD,High,2
S101,Maria,Brown,student101@univ.edu,Male,21,CS,77.6,62,82,87.31,57.85,17.23,83.83,98.36,D,13.3,No,No,High School,High,2
S102,Ahmed,Jones,student102@univ.edu,Female,20,Business,94.48,91,88,80.47,62.4,87.7,69.28,88.66,A,9.9,Yes,Yes,PhD,Low,3
S103,Sara,Jones,student103@univ.edu,Female,22,CS,85.51,98,47,58.93,50.45,27.47,77.87,70.66,C,6.3,Yes,Yes,None,Low,8
S104,Ali,Davis,student104@univ.edu,Female,18,Engineering,80.29,45,51,89.62,82.73,41.73,51.8,72.9,B,22.0,No,Yes,PhD,Low,7
S105,Liam,Brown,student105@univ.edu,Female,23,Engineering,58.58,87,97,68.66,87.02,52.39,75.77,69.08,C,14.1,No,Yes,Master's,Medium,9
S106,Liam,Johnson,student106@univ.edu,Male,23,Mathematics,75.47,71,48,67.85,78.11,35.53,88.69,61.09,D,18.0,Yes,No,Bachelor's,High,7
S107,Maria,Brown,student107@univ.edu,Male,24,Engineering,54.85,67,40,51.8,55.33,21.52,91.84,92.35,A,20.8,Yes,No,None,Low,5
S108,Emma,Johnson,student108@univ.edu,Female,18,CS,52.83,42,56,69.16,87.63,69.85,66.71,58.22,F,7.1,No,Yes,PhD,Low,7
S109,Maria,Jones,student109@univ.edu,Female,22,Engineering,77.76,41,82,74.01,66.23,65.12,64.89,98.59,B,25.4,No,No,Master's,Low,3
S110,Omar,Johnson,student110@univ.edu,Male,18,CS,70.28,71,50,51.69,71.41,73.2,63.31,94.05,B,15.4,No,No,PhD,High,5
S111,Liam,Davis,student111@univ.edu,Male,23,Engineering,74.15,81,92,92.92,93.1,4.97,92.46,95.52,D,10.9,Yes,Yes,Master's,Low,2
S112,Emma,Johnson,student112@univ.edu,Male,21,CS,71.42,54,55,59.13,52.7,31.49,79.97,51.67,C,18.8,No,No,Bachelor's,Medium,3
S113,Sara,Brown,student113@univ.edu,Female,23,Business,61.86,90,64,55.67,72.51,40.54,84.86,57.53,F,28.5,No,Yes,PhD,High,6
S114,Sara,Davis,student114@univ.edu,Male,23,Engineering,90.56,80,44,51.97,60.67,40.23,96.53,96.17,B,19.4,Yes,Yes,High School,High,10
S115,Ahmed,Johnson,student115@univ.edu,Male,20,Engineering,96.9,52,82,81.95,82.66,38.9,68.58,99.81,A,18.4,No,Yes,High School,Low,1
S116,Liam,Brown,student116@univ.edu,Female,22,CS,69.9,99,45,51.23,78.96,60.01,83.78,97.42,C,15.9,No,Yes,Bachelor's,Medium,8
S117,Maria,Brown,student117@univ.edu,Male,22,CS,70.15,86,50,61.95,68.76,67.55,80.81,47.47,B,5.8,No,Yes,Master's,High,2
S118,Omar,Williams,student118@univ.edu,Female,23,Mathematics,76.31,43,85,95.68,51.37,55.15,99.25,76.51,B,27.7,No,Yes,Bachelor's,Medium,2
S119,Sara,Davis,student119@univ.edu,Female,24,Mathematics,67.75,92,99,84.55,73.34,64.13,88.42,93.97,A,6.3,No,No,High School,High,1
S120,Maria,Johnson,student120@univ.edu,Male,18,Business,67.08,93,48,65.88,51.68,7.55,80.63,64.3,F,10.2,No,Yes,Master's,High,10
S121,Omar,Jones,student121@univ.edu,Male,23,Engineering,82.41,72,75,66.8,69.06,61.58,57.76,46.93,F,7.5,No,Yes,High School,High,3
S122,Sara,Brown,student122@univ.edu,Female,18,Mathematics,80.83,88,88,85.13,66.72,5.28,78.44,85.68,D,8.6,No,No,PhD,Low,9
S123,Liam,Jones,student123@univ.edu,Female,23,Mathematics,52.95,41,43,74.76,75.2,52.71,72.08,99.47,F,20.8,Yes,Yes,None,Medium,9
S124,Liam,Johnson,student124@univ.edu,Female,20,Mathematics,84.25,79,49,92.69,99.15,33.82,95.86,58.85,A,29.7,No,Yes,Bachelor's,High,5
S125,Maria,Johnson,student125@univ.edu,Male,19,Business,83.43,62,97,94.36,57.73,11.68,58.49,73.88,B,5.3,No,Yes,Bachelor's,Medium,6
S126,Maria,Williams,student126@univ.edu,Female,21,Engineering,98.8,96,53,58.5,81.97,28.63,63.79,44.88,B,23.0,No,No,None,High,4
S127,Ali,Davis,student127@univ.edu,Female,22,CS,94.34,74,67,68.23,72.4,58.98,60.36,71.15,D,19.4,Yes,No,None,Medium,8
S128,Omar,Johnson,student128@univ.edu,Male,23,Engineering,89.34,58,77,55.21,90.21,36.23,96.81,90.75,C,27.4,Yes,Yes,None,Low,4
S129,Maria,Brown,student129@univ.edu,Male,19,CS,56.08,91,41,56.03,64.63,62.45,56.42,52.08,F,15.1,No,No,Master's,High,1
S130,Ali,Smith,student130@univ.edu,Female,22,Engineering,50.37,48,60,75.1,56.86,32.89,91.87,64.59,B,25.4,No,No,Master's,Medium,8
S131,Maria,Jones,student131@univ.edu,Female,24,Engineering,64.07,56,75,61.77,96.33,45.88,52.25,75.96,A,22.1,Yes,Yes,Bachelor's,Medium,5
S132,Omar,Williams,student132@univ.edu,Female,19,Mathematics,67.44,48,70,62.53,89.3,32.83,81.99,59.14,B,18.2,Yes,No,Master's,Medium,10
S133,Ahmed,Davis,student133@univ.edu,Female,18,Engineering,56.69,60,82,56.51,56.78,47.14,99.9,90.16,C,24.4,No,No,PhD,Medium,3
S134,Sara,Williams,student134@univ.edu,Female,21,CS,93.72,77,69,59.41,67.8,60.86,97.59,61.46,B,18.8,Yes,Yes,PhD,High,9
S135,Ali,Smith,student135@univ.edu,Female,19,CS,76.07,73,60,50.81,93.61,72.07,81.18,43.61,F,6.1,Yes,Yes,None,Medium,1
S136,John,Johnson,student136@univ.edu,Female,21,CS,63.4,65,86,71.85,57.77,1.39,50.69,46.38,F,22.6,Yes,Yes,Bachelor's,High,2
S137,Emma,Brown,student137@univ.edu,Female,21,Business,86.47,94,42,90.38,77.37,2.17,78.05,83.88,D,10.1,Yes,Yes,None,Low,4
S138,Ali,Williams,student138@univ.edu,Male,22,Mathematics,68.88,92,58,71.56,65.31,10.59,84.1,49.45,F,24.6,Yes,No,Master's,High,3
S139,Emma,Johnson,student139@univ.edu,Male,21,Engineering,55.34,59,89,58.15,94.54,71.98,71.48,85.99,D,18.7,Yes,Yes,High School,Low,8
S140,Liam,Johnson,student140@univ.edu,Female,21,Engineering,77.07,50,59,55.91,79.93,94.6,67.44,73.42,C,29.9,No,No,Master's,Low,9
S141,Sara,Davis,student141@univ.edu,Female,18,CS,94.85,66,67,68.44,71.41,29.21,76.38,98.34,A,5.9,Yes,Yes,Bachelor's,Medium,5
S142,Omar,Johnson,student142@univ.edu,Female,22,CS,81.11,44,58,88.33,82.59,78.78,89.52,79.11,C,19.5,Yes,No,None,High,1
S143,Maria,Smith,student143@univ.edu,Female,18,Engineering,76.5,66,63,53.54,51.11,71.38,57.77,73.64,F,15.6,No,No,High School,High,6
S144,Sara,Davis,student144@univ.edu,Male,21,Mathematics,62.83,75,62,75.97,89.74,81.58,51.67,71.92,F,25.7,No,Yes,High School,Medium,7
S145,Omar,Jones,student145@univ.edu,Male,19,Business,72.18,42,76,75.82,68.34,33.7,58.61,87.21,C,17.2,No,No,PhD,High,1
S146,Maria,Davis,student146@univ.edu,Female,18,Engineering,87.32,60,55,72.16,54.6,35.51,98.75,67.25,F,22.2,No,Yes,Master's,Low,5
S147,Maria,Johnson,student147@univ.edu,Male,18,Business,68.78,86,80,64.22,50.93,13.3,60.91,59.05,F,25.5,Yes,Yes,High School,Low,10
S148,Ahmed,Johnson,student148@univ.edu,Male,18,Mathematics,58.86,65,52,55.0,52.98,81.38,95.7,44.6,A,13.3,Yes,Yes,High School,High,2
S149,Maria,Johnson,student149@univ.edu,Female,21,CS,80.89,77,99,83.17,53.81,78.96,61.4,81.92,B,20.3,Yes,Yes,High School,Low,7
S150,Emma,Brown,student150@univ.edu,Female,19,CS,59.15,76,79,59.06,82.5,5.18,65.65,88.29,A,10.1,No,No,High School,Low,2
S151,Emma,Smith,student151@univ.edu,Female,22,CS,61.51,83,58,89.99,83.44,2.94,68.47,53.84,F,13.5,No,Yes,Master's,Low,8
S152,Omar,Johnson,student152@univ.edu,Male,19,Mathematics,89.91,44,99,80.28,90.67,35.44,66.29,98.08,C,8.3,Yes,Yes,High School,High,2
S153,Emma,Brown,student153@univ.edu,Female,23,Mathematics,54.18,79,96,91.85,94.87,67.76,88.9,95.43,D,14.6,Yes,No,PhD,Low,8
S154,Maria,Jones,student154@univ.edu,Female,21,CS,91.77,96,78,51.63,83.62,53.92,92.76,71.34,B,19.8,No,Yes,None,High,9
S155,John,Williams,student155@univ.edu,Male,20,Mathematics,63.8,80,64,66.58,85.33,99.36,63.43,43.88,A,6.5,Yes,Yes,PhD,Low,8
S156,John,Smith,student156@univ.edu,Female,24,Business,81.2,67,59,54.91,52.35,18.26,71.16,78.51,C,5.7,No,No,High School,High,2
S157,John,Brown,student157@univ.edu,Male,24,Engineering,88.33,60,51,89.6,50.72,35.82,76.5,76.2,B,29.3,Yes,No,Bachelor's,High,7
S158,Ali,Williams,student158@univ.edu,Male,20,Business,65.58,70,67,85.01,59.25,46.0,92.32,80.14,B,24.9,No,Yes,High School,Medium,5
S159,Liam,Brown,student159@univ.edu,Female,19,CS,56.35,68,88,61.55,90.77,26.78,57.97,71.25,B,17.6,Yes,Yes,High School,High,2
S160,Ahmed,Davis,student160@univ.edu,Female,24,Mathematics,95.33,69,92,81.54,79.34,81.26,69.28,58.0,C,21.2,Yes,Yes,None,Low,1
S161,Emma,Jones,student161@univ.edu,Female,23,Mathematics,72.32,98,46,50.11,91.1,40.02,75.66,54.35,B,6.1,Yes,Yes,High School,High,9
S162,Omar,Johnson,student162@univ.edu,Female,21,Business,76.74,73,52,81.59,63.5,93.77,52.5,82.76,C,20.6,Yes,No,PhD,High,1
S163,Liam,Williams,student163@univ.edu,Female,24,Mathematics,61.77,44,73,54.72,75.34,43.54,57.15,47.06,C,25.6,No,No,Master's,Low,3
S164,John,Davis,student164@univ.edu,Male,24,Mathematics,72.45,51,72,90.33,75.62,44.25,67.61,84.23,B,22.3,Yes,No,PhD,High,7
S165,Ali,Smith,student165@univ.edu,Male,22,Mathematics,99.09,92,74,94.74,89.72,47.92,65.5,47.39,F,29.0,No,No,High School,High,7
S166,Ahmed,Johnson,student166@univ.edu,Female,19,CS,87.56,91,99,76.68,75.9,46.42,51.72,93.32,B,24.3,No,Yes,PhD,Medium,7
S167,John,Smith,student167@univ.edu,Female,23,Mathematics,71.78,76,93,64.53,96.77,50.41,60.55,60.4,C,15.6,No,Yes,Master's,High,2
S168,Liam,Williams,student168@univ.edu,Female,19,Business,96.61,86,48,74.92,85.55,79.01,65.9,86.99,B,24.8,Yes,Yes,High School,Low,10
S169,Ali,Jones,student169@univ.edu,Female,19,Mathematics,89.2,54,61,83.94,78.56,61.46,97.76,74.71,B,16.2,Yes,Yes,Bachelor's,High,6
S170,Ali,Johnson,student170@univ.edu,Female,23,Business,91.76,64,65,52.68,55.07,66.35,57.0,99.02,D,22.3,Yes,Yes,High School,High,4
S171,John,Johnson,student171@univ.edu,Male,21,Business,68.72,51,72,74.82,95.16,46.82,65.52,66.38,C,26.0,Yes,No,Bachelor's,High,1
S172,John,Williams,student172@univ.edu,Male,19,CS,50.4,69,58,87.2,94.16,68.97,54.57,42.66,F,25.8,No,Yes,High School,Low,8
S173,Emma,Johnson,student173@univ.edu,Male,21,Business,94.76,94,94,54.82,84.54,37.04,83.93,97.01,F,27.6,Yes,Yes,PhD,Low,5
S174,Liam,Smith,student174@univ.edu,Female,22,Mathematics,94.66,57,87,67.46,96.72,27.51,74.8,87.85,F,23.3,Yes,Yes,Bachelor's,Medium,8
